0.16599998,0.18000004,0.28710625,0.09617418,STK,406,3501,not normalized,500
0.69399995,0.6289999,0.8235937,0.18257643,STK,406,3501,normalized,500
0.17799999,0.19300003,0.2905425,0.070998386,STK,364,3389,not normalized,500
0.68200004,0.641,0.843968,0.140841,STK,364,3389,normalized,500
0.14199996,0.15100001,0.26882088,0.118350856,STK,394,6251,not normalized,1000
0.734,0.68399996,0.87629014,0.24319819,STK,394,6251,normalized,1000
0.18999997,0.195,0.2764204,0.091678716,STK,329,9080,not normalized,1000
0.72200006,0.69500005,0.88019806,0.19653372,STK,329,9080,normalized,1000
0.15799999,0.18000002,0.264449,0.10279635,STK,324,8241,not normalized,1000
0.6539999,0.62200004,0.8200934,0.20672955,STK,324,8241,normalized,1000
0.15999998,0.157,0.25620687,0.096501015,STK,313,8828,not normalized,1000
0.73800004,0.68399996,0.86155534,0.2308265,STK,313,8828,normalized,1000
0.15999997,0.16599998,0.2852221,0.10468724,STK,394,55,not normalized,1000
0.7459998,0.69700015,0.82048845,0.22383018,STK,394,55,normalized,1000
0.176,0.19000004,0.2717953,0.086422205,STK,305,2084,not normalized,1000
0.7699999,0.72900015,0.86160547,0.21522875,STK,305,2084,normalized,1000
0.17999998,0.18400002,0.2845721,0.09204988,STK,356,1375,not normalized,1000
0.67,0.635,0.81395876,0.19883485,STK,356,1375,normalized,1000
0.13599996,0.13999999,0.21821749,0.07897777,STK,336,2802,not normalized,1000
0.7640001,0.706,0.88773805,0.1897741,STK,336,2802,normalized,1000
0.15399998,0.16500004,0.25294167,0.1003926,STK,455,3501,not normalized,1000
0.69,0.6289999,0.83668864,0.21783951,STK,455,3501,normalized,1000
0.13999996,0.137,0.22647052,0.07608541,STK,356,3389,not normalized,1000
0.69000006,0.64599997,0.85085154,0.17589718,STK,356,3389,normalized,1000
